case_id,alert_id,customer_id,risk_category,case_risk_score,case_age_days,case_status,investigation_outcome
CASE0001,FCA00736,CUST10449,Transaction Monitoring,40.0,12,In Review,Further Investigation
CASE0002,FCA00304,CUST10305,Transaction Monitoring,100.0,35,Escalated,SAR Filed
CASE0003,FCA01597,CUST10728,Transaction Monitoring,46.0,24,Escalated,Closed - No SAR
CASE0004,FCA01520,CUST10494,Fraud,91.0,2,Closed,SAR Filed
CASE0005,FCA00407,CUST10329,Transaction Monitoring,86.0,33,Open,SAR Filed
CASE0006,FCA00210,CUST10888,Transaction Monitoring,74.0,5,Open,Escalated for SAR Review
CASE0007,FCA01451,CUST10879,KYC/EDD,76.0,6,Open,Escalated for SAR Review
CASE0008,FCA00560,CUST10789,Transaction Monitoring,89.0,6,In Review,SAR Filed
CASE0009,FCA01713,CUST10702,Sanctions,100.0,25,In Review,SAR Filed
CASE0010,FCA01075,CUST11093,Transaction Monitoring,97.0,17,Open,SAR Filed
CASE0011,FCA00579,CUST10414,Transaction Monitoring,87.0,8,Escalated,SAR Filed
CASE0012,FCA01085,CUST10571,Fraud,59.0,9,Open,Further Investigation
CASE0013,FCA00234,CUST10787,Sanctions,62.0,30,In Review,Further Investigation
CASE0014,FCA00752,CUST10342,Sanctions,56.0,39,Open,Further Investigation
CASE0015,FCA00282,CUST10078,Transaction Monitoring,75.0,29,Open,Escalated for SAR Review
CASE0016,FCA00269,CUST10535,Sanctions,43.0,8,Closed,Closed - No SAR
CASE0017,FCA01092,CUST10805,Sanctions,85.0,9,In Review,SAR Filed
CASE0018,FCA00385,CUST10634,Sanctions,74.0,38,Closed,Escalated for SAR Review
CASE0019,FCA00373,CUST10708,Transaction Monitoring,68.0,36,In Review,Escalated for SAR Review
CASE0020,FCA00911,CUST10650,Transaction Monitoring,78.0,34,Closed,Escalated for SAR Review
CASE0021,FCA00344,CUST10352,KYC/EDD,86.0,36,Open,SAR Filed
CASE0022,FCA00720,CUST10349,Transaction Monitoring,72.0,25,Escalated,Escalated for SAR Review
CASE0023,FCA01344,CUST10925,Transaction Monitoring,69.0,23,In Review,Escalated for SAR Review
CASE0024,FCA00047,CUST10565,Transaction Monitoring,87.0,20,Closed,SAR Filed
CASE0025,FCA01228,CUST10992,Fraud,52.0,22,Closed,Closed - No SAR
CASE0026,FCA01353,CUST11012,KYC/EDD,61.0,28,Closed,Closed - No SAR
CASE0027,FCA01428,CUST10790,KYC/EDD,39.0,32,In Review,Further Investigation
CASE0028,FCA01333,CUST10998,KYC/EDD,69.0,27,In Review,Escalated for SAR Review
CASE0029,FCA00655,CUST10317,Fraud,85.0,9,Open,SAR Filed
CASE0030,FCA01279,CUST10478,Transaction Monitoring,71.0,40,In Review,Escalated for SAR Review
CASE0031,FCA01545,CUST10822,Transaction Monitoring,67.0,9,Closed,Closed - No SAR
CASE0032,FCA01277,CUST10866,Transaction Monitoring,83.0,21,Open,SAR Filed
CASE0033,FCA00940,CUST10257,Fraud,88.0,18,Closed,SAR Filed
CASE0034,FCA00051,CUST10485,Transaction Monitoring,37.0,36,Closed,Closed - No SAR
CASE0035,FCA01372,CUST10651,Transaction Monitoring,49.0,28,Escalated,Closed - No SAR
CASE0036,FCA01716,CUST10017,Transaction Monitoring,63.0,22,Closed,Closed - No SAR
CASE0037,FCA00113,CUST10905,Sanctions,56.0,28,Escalated,Closed - No SAR
CASE0038,FCA01410,CUST11177,Fraud,86.0,3,Open,SAR Filed
CASE0039,FCA01063,CUST10273,Transaction Monitoring,68.0,30,Escalated,Escalated for SAR Review
CASE0040,FCA00187,CUST10879,Fraud,100.0,33,Closed,SAR Filed
CASE0041,FCA01345,CUST10176,Fraud,70.0,30,Escalated,Escalated for SAR Review
CASE0042,FCA00236,CUST10646,Transaction Monitoring,96.0,38,Open,SAR Filed
CASE0043,FCA00157,CUST10902,Fraud,66.0,2,In Review,Further Investigation
CASE0044,FCA00760,CUST10470,Transaction Monitoring,45.0,23,Closed,Closed - No SAR
CASE0045,FCA00780,CUST10958,KYC/EDD,88.0,37,In Review,SAR Filed
CASE0046,FCA00033,CUST11152,Fraud,81.0,31,Open,Escalated for SAR Review
CASE0047,FCA01798,CUST10554,KYC/EDD,94.0,22,Escalated,SAR Filed
CASE0048,FCA01054,CUST10978,Fraud,97.0,34,Escalated,SAR Filed
CASE0049,FCA01497,CUST11119,KYC/EDD,84.0,5,In Review,SAR Filed
CASE0050,FCA00049,CUST11069,Transaction Monitoring,63.0,22,Closed,Closed - No SAR
CASE0051,FCA01430,CUST10949,Transaction Monitoring,71.0,38,Escalated,Escalated for SAR Review
CASE0052,FCA00217,CUST11132,KYC/EDD,54.0,24,Closed,Closed - No SAR
CASE0053,FCA00018,CUST10914,Transaction Monitoring,54.0,27,Closed,Closed - No SAR
CASE0054,FCA01498,CUST10928,Transaction Monitoring,65.0,8,In Review,Further Investigation
CASE0055,FCA00206,CUST10664,Transaction Monitoring,94.0,7,In Review,SAR Filed
CASE0056,FCA01440,CUST10677,Fraud,70.0,13,Escalated,Escalated for SAR Review
CASE0057,FCA01129,CUST10661,Transaction Monitoring,72.0,22,Closed,Escalated for SAR Review
