counterparty_id,connected_customers,transaction_count,total_amount,high_risk_geo_transactions,network_review_flag
CP00001,4,4,10806.46,0,0
CP00002,6,6,26140.600000000002,2,1
CP00003,4,4,45537.78,2,0
CP00004,5,6,33920.1,3,1
CP00005,3,3,25361.97,2,0
CP00006,6,6,69462.95999999999,2,1
CP00007,5,5,22269.97,1,0
CP00008,3,3,15965.59,0,0
CP00009,7,7,92562.53,4,1
CP00010,4,4,42524.31,3,0
CP00011,9,9,96170.18,4,1
CP00012,2,2,71668.31,1,0
CP00013,3,3,51261.34,1,0
CP00014,5,5,32811.53,1,0
CP00015,2,2,21946.92,1,0
CP00016,6,6,22676.42,2,1
CP00017,7,7,133319.54,1,0
CP00018,4,4,43541.95,1,0
CP00019,7,7,148042.22999999998,5,1
CP00020,9,9,88998.99,3,1
CP00021,5,5,69700.6,1,0
CP00022,5,5,101960.3,1,0
CP00023,5,5,69634.2,2,1
CP00024,7,7,172114.03,2,1
CP00025,5,5,42920.270000000004,3,1
CP00026,5,5,41520.86,2,1
CP00027,5,5,45932.11,2,1
CP00028,5,5,46403.45,2,1
CP00029,6,6,86620.59,1,0
CP00030,2,2,89837.88,0,0
CP00031,2,2,3960.33,1,0
CP00032,6,6,162454.13,1,0
CP00033,4,4,146333.37,1,0
CP00034,4,4,21419.559999999998,2,0
CP00035,7,7,80148.23,3,1
CP00036,4,4,29540.32,2,0
CP00037,3,3,19920.65,2,0
CP00038,5,5,33998.46,1,0
CP00039,7,7,139713.8,4,1
CP00040,4,4,42296.08,0,0
CP00041,4,4,30504.91,1,0
CP00042,9,9,239955.87000000002,3,1
CP00043,5,5,61962.149999999994,2,1
CP00044,2,2,59961.72,0,0
CP00045,6,6,72787.39,1,0
CP00046,3,3,12642.51,2,0
CP00047,9,9,103685.01,1,0
CP00048,6,6,98498.81999999999,4,1
CP00049,6,6,127195.22,2,1
CP00050,6,6,85898.35999999999,2,1
CP00051,9,9,70741.83,4,1
CP00052,10,10,96406.63,6,1
CP00053,8,8,144877.72999999998,4,1
CP00054,3,3,18244.850000000002,1,0
CP00055,3,3,32253.190000000002,2,0
CP00056,5,5,12462.619999999999,2,1
CP00057,5,5,98767.5,2,1
CP00058,8,8,47364.43,4,1
CP00059,2,2,15196.52,2,0
CP00060,4,4,71262.38,0,0
CP00061,7,7,35642.42,2,1
CP00062,2,2,8055.11,1,0
CP00063,2,2,18795.47,0,0
CP00064,4,4,65250.06,2,0
CP00065,5,5,22032.829999999998,0,0
CP00066,4,4,26227.48,2,0
CP00067,3,3,19845.78,3,0
CP00068,4,4,30660.96,2,0
CP00069,4,4,24467.25,1,0
CP00070,5,5,89392.52,3,1
CP00071,3,3,32554.550000000003,1,0
CP00072,7,7,127471.01999999999,2,1
CP00073,4,4,33012.92,2,0
CP00074,1,1,1745.99,1,0
CP00075,4,4,40489.66,2,0
CP00076,5,5,24309.3,1,0
CP00077,6,6,42139.21,2,1
CP00078,3,3,21346.33,1,0
CP00079,2,2,3649.34,1,0
CP00080,5,5,92611.82,1,0
CP00081,8,8,163679.36000000002,3,1
CP00082,6,6,47099.13,3,1
CP00083,2,2,11544.59,2,0
CP00084,8,8,92176.78,1,0
CP00085,5,5,39099.9,4,1
CP00086,6,6,58774.28999999999,2,1
CP00087,6,6,81025.95,4,1
CP00088,3,3,13638.4,1,0
CP00089,2,2,27042.809999999998,1,0
CP00090,4,5,42905.43,1,0
CP00091,9,9,80031.74,2,1
CP00092,5,5,94521.45999999999,3,1
CP00093,3,3,8165.11,2,0
CP00094,6,6,53957.83,1,0
CP00095,3,3,20351.0,2,0
CP00096,7,7,69511.46,3,1
CP00097,7,7,69035.05,3,1
CP00098,4,4,30802.86,1,0
CP00099,1,1,9831.38,0,0
CP00100,6,6,153796.07,1,0
CP00101,3,3,2865.5699999999997,2,0
CP00102,7,7,166119.59,4,1
CP00103,3,3,22068.270000000004,1,0
