customer_id,customer_name,customer_segment,country,kyc_risk,pep_flag,expected_monthly_volume,total_alerts,escalated_alerts,total_alerted_amount,avg_alert_risk,unique_risk_categories,unique_risk_drivers,total_transactions,total_transaction_amount,high_risk_geo_transactions,unique_counterparties,repeat_alert_flag,multi_risk_flag,high_risk_geo_ratio,financial_crime_risk_score,financial_crime_risk_level
CUST10000,Customer 0001,Commercial,United States,Low,0,21083.82,1.0,0.0,4984.85,72.0,1.0,1.0,31,446249.67,12,31,0,0,0.3870967741935484,21.0,Low
CUST10001,Customer 0002,Small Business,China,Low,0,10062.82,2.0,1.0,421487.80000000005,51.5,1.0,2.0,26,294425.79,9,26,0,0,0.34615384615384615,30.0,Moderate
CUST10002,Customer 0003,Small Business,United States,Low,0,18508.69,5.0,2.0,107151.31000000001,52.6,2.0,3.0,31,604202.5,11,31,1,1,0.3548387096774194,72.0,High
CUST10003,Customer 0004,Consumer,United States,Low,0,7106.23,2.0,0.0,249779.02,62.5,2.0,2.0,24,255120.62,9,24,0,1,0.375,40.0,Moderate
CUST10004,Customer 0005,Consumer,United States,Low,0,43081.8,2.0,2.0,51003.2,55.0,2.0,2.0,25,280596.25,7,25,0,1,0.28,49.2,Moderate
CUST10005,Customer 0006,Small Business,United Kingdom,Low,0,6575.49,0.0,0.0,0.0,0.0,0.0,0.0,18,130099.17,5,18,0,0,0.2777777777777778,16.1,Low
CUST10006,Customer 0007,Consumer,United States,Low,0,1979.95,3.0,1.0,68561.54000000001,38.333333333333336,2.0,3.0,17,233672.13,6,17,1,1,0.35294117647058826,59.0,Moderate
CUST10007,Customer 0008,Consumer,Russia,Low,1,6198.27,3.0,1.0,153895.91,62.333333333333336,1.0,2.0,25,408943.0,8,25,1,0,0.32,56.0,Moderate
CUST10008,Customer 0009,Consumer,Canada,Low,0,8834.0,1.0,0.0,16539.45,59.0,1.0,1.0,26,254067.29,11,26,0,0,0.4230769230769231,21.0,Low
CUST10009,Customer 0010,Consumer,United States,Low,0,15389.73,0.0,0.0,0.0,0.0,0.0,0.0,21,231584.49,8,21,0,0,0.38095238095238093,17.0,Low
CUST10010,Customer 0011,Consumer,India,Low,0,6009.58,2.0,0.0,112550.03,52.0,2.0,2.0,21,189031.95,7,21,0,1,0.3333333333333333,40.0,Moderate
CUST10011,Customer 0012,Small Business,United States,High,0,6796.02,2.0,0.0,103040.48,71.0,2.0,2.0,29,314971.58,11,29,0,1,0.3793103448275862,55.0,Moderate
CUST10012,Customer 0013,Small Business,United Arab Emirates,Low,0,5715.64,2.0,1.0,88378.32,50.0,2.0,2.0,23,195375.32,6,23,0,1,0.2608695652173913,43.4,Moderate
CUST10013,Customer 0014,Consumer,United States,Low,0,11029.7,1.0,0.0,101978.24,51.0,1.0,1.0,27,302457.11,9,27,0,0,0.3333333333333333,21.0,Low
CUST10014,Customer 0015,Consumer,Mexico,Medium,1,3843.71,0.0,0.0,0.0,0.0,0.0,0.0,19,269747.83999999997,4,19,0,0,0.21052631578947367,32.4,Moderate
CUST10015,Customer 0016,Consumer,India,Medium,0,603.85,0.0,0.0,0.0,0.0,0.0,0.0,26,281135.22000000003,12,26,0,0,0.46153846153846156,24.0,Low
CUST10016,Customer 0017,Small Business,United States,Medium,0,23460.94,1.0,0.0,2774.74,43.0,1.0,1.0,24,407164.36,11,24,0,0,0.4583333333333333,28.0,Low
CUST10017,Customer 0018,Consumer,United States,Medium,0,14780.97,1.0,1.0,10031.8,64.0,1.0,1.0,19,205572.05000000002,5,19,0,0,0.2631578947368421,31.5,Moderate
CUST10018,Customer 0019,Consumer,United States,Low,0,36149.89,3.0,0.0,278193.89,53.666666666666664,2.0,3.0,29,352092.65,15,29,1,1,0.5172413793103449,54.0,Moderate
