alert_id,customer_id,alert_date,risk_category,risk_driver,risk_score,alert_amount,disposition,escalated_flag,month
FCA00001,CUST10827,2026-01-03,Transaction Monitoring,Unusual Volume,44.0,8968.47,Closed - Explained,0,2026-01
FCA00002,CUST11034,2026-09-20,Transaction Monitoring,Unusual Volume,22.0,27446.98,Closed - Explained,0,2026-09
FCA00003,CUST10455,2026-07-20,KYC/EDD,Adverse Media,78.0,44579.83,Escalated,1,2026-07
FCA00004,CUST10340,2026-02-22,Transaction Monitoring,Unusual Volume,60.0,62021.22,Escalated,1,2026-02
FCA00005,CUST10383,2026-01-15,KYC/EDD,PEP Exposure,54.0,41452.32,Closed - Explained,0,2026-01
FCA00006,CUST10546,2026-01-22,Sanctions,Name Match,58.0,8370.17,Escalated,1,2026-01
FCA00007,CUST10528,2026-05-02,Transaction Monitoring,High-Risk Wire,66.0,9140.4,Closed - Explained,0,2026-05
FCA00008,CUST10044,2026-09-24,KYC/EDD,Source of Funds,42.0,45973.45,Closed - Explained,0,2026-09
FCA00009,CUST10415,2026-08-02,Transaction Monitoring,Rapid Movement,39.0,79986.17,Closed - Explained,0,2026-08
FCA00010,CUST10181,2026-07-14,Transaction Monitoring,Rapid Movement,99.0,5809.45,Escalated,1,2026-07
FCA00011,CUST10054,2026-07-03,Transaction Monitoring,High-Risk Wire,56.0,67583.92,Closed - Explained,0,2026-07
FCA00012,CUST10860,2026-03-03,KYC/EDD,Adverse Media,52.0,8436.99,Closed - Explained,0,2026-03
FCA00013,CUST10771,2026-01-10,KYC/EDD,PEP Exposure,41.0,4785.59,Closed - Explained,0,2026-01
FCA00014,CUST11046,2026-04-30,Transaction Monitoring,Structuring,84.0,18570.64,Escalated,1,2026-04
FCA00015,CUST10407,2026-02-24,Fraud,Geo Anomaly,56.0,13786.27,Closed - Explained,0,2026-02
FCA00016,CUST10511,2026-06-16,Transaction Monitoring,Unusual Volume,36.0,16078.74,Closed - Explained,0,2026-06
FCA00017,CUST10229,2026-01-01,Transaction Monitoring,Rapid Movement,35.0,6021.54,Closed - Explained,0,2026-01
FCA00018,CUST10914,2026-07-24,Transaction Monitoring,Structuring,53.0,14390.72,Escalated,1,2026-07
FCA00019,CUST10617,2026-06-22,Transaction Monitoring,High-Risk Wire,64.0,60573.67,Escalated,1,2026-06
FCA00020,CUST10857,2026-06-04,Transaction Monitoring,Unusual Volume,41.0,88652.26,Closed - Explained,0,2026-06
FCA00021,CUST10553,2026-03-22,Transaction Monitoring,High-Risk Wire,80.0,15484.73,Escalated,1,2026-03
FCA00022,CUST10579,2026-03-29,Transaction Monitoring,High-Risk Wire,43.0,25299.84,Closed - Explained,0,2026-03
FCA00023,CUST10148,2026-05-31,KYC/EDD,Adverse Media,76.0,249202.64,Closed - Explained,0,2026-05
FCA00024,CUST10773,2026-05-09,Transaction Monitoring,High-Risk Wire,56.0,110025.34,Closed - Explained,0,2026-05
FCA00025,CUST10624,2026-08-02,Sanctions,High-Risk Geography,61.0,13052.45,Escalated,1,2026-08
FCA00026,CUST10476,2026-09-09,Transaction Monitoring,Unusual Volume,72.0,17422.63,Escalated,1,2026-09
FCA00027,CUST10241,2026-01-29,Transaction Monitoring,Unusual Volume,71.0,137261.1,Closed - Explained,0,2026-01
FCA00028,CUST10495,2026-07-07,Transaction Monitoring,Structuring,99.0,3491.17,Escalated,1,2026-07
FCA00029,CUST10934,2026-08-17,Fraud,Suspicious Merchant,58.0,19313.62,Closed - Explained,0,2026-08
FCA00030,CUST10844,2026-02-28,Transaction Monitoring,Structuring,68.0,46193.76,Escalated,1,2026-02
FCA00031,CUST10551,2026-09-02,Fraud,Suspicious Merchant,60.0,48376.08,Closed - Explained,0,2026-09
FCA00032,CUST11097,2026-02-06,Sanctions,Name Match,65.0,128580.88,Escalated,1,2026-02
FCA00033,CUST11152,2026-03-10,Fraud,Geo Anomaly,77.0,41986.73,Escalated,1,2026-03
FCA00034,CUST10771,2026-07-26,Transaction Monitoring,Unusual Volume,42.0,30939.31,Closed - Explained,0,2026-07
FCA00035,CUST10298,2026-08-29,Transaction Monitoring,High-Risk Wire,100.0,73911.18,Escalated,1,2026-08
FCA00036,CUST10478,2026-06-01,Sanctions,Watchlist Exposure,58.0,17756.03,Closed - Explained,0,2026-06
FCA00037,CUST10111,2026-05-18,Transaction Monitoring,High-Risk Wire,64.0,3663.36,Escalated,1,2026-05
FCA00038,CUST10750,2026-09-13,Transaction Monitoring,Unusual Volume,46.0,8079.41,Closed - Explained,0,2026-09
FCA00039,CUST10454,2026-05-14,Fraud,Velocity Spike,69.0,55171.4,Escalated,1,2026-05
FCA00040,CUST10456,2026-02-06,KYC/EDD,PEP Exposure,82.0,11836.94,Closed - Explained,0,2026-02
FCA00041,CUST10581,2026-01-01,Fraud,Geo Anomaly,60.0,17547.17,Closed - Explained,0,2026-01
FCA00042,CUST10023,2026-06-12,KYC/EDD,Adverse Media,52.0,48992.21,Closed - Explained,0,2026-06
FCA00043,CUST11175,2026-05-26,Fraud,Suspicious Merchant,41.0,27533.93,Closed - Explained,0,2026-05
FCA00044,CUST10422,2026-06-15,Transaction Monitoring,Rapid Movement,61.0,87576.03,Closed - Explained,0,2026-06
FCA00045,CUST10983,2026-01-29,Transaction Monitoring,Structuring,24.0,16109.29,Closed - Explained,0,2026-01
FCA00046,CUST10590,2026-07-28,Fraud,Suspicious Merchant,21.0,7235.29,Closed - Explained,0,2026-07
FCA00047,CUST10565,2026-05-20,Transaction Monitoring,Rapid Movement,90.0,93833.91,Escalated,1,2026-05
FCA00048,CUST10887,2026-09-26,Sanctions,Watchlist Exposure,52.0,100019.73,Escalated,1,2026-09
FCA00049,CUST11069,2026-02-22,Transaction Monitoring,Unusual Volume,68.0,243148.29,Escalated,1,2026-02
FCA00050,CUST10883,2026-02-10,Transaction Monitoring,Rapid Movement,67.0,111619.64,Closed - Explained,0,2026-02
FCA00051,CUST10485,2026-05-19,Transaction Monitoring,Structuring,27.0,19480.88,Escalated,1,2026-05
FCA00052,CUST10634,2026-06-02,Transaction Monitoring,High-Risk Wire,73.0,64973.07,Closed - Explained,0,2026-06
FCA00053,CUST11199,2026-07-19,KYC/EDD,Adverse Media,52.0,43002.28,Closed - Explained,0,2026-07
