case_id,alert_id,customer_id,risk_category,case_risk_score,case_age_days,case_status
CASE0001,FCA00736,CUST10449,Transaction Monitoring,40.0,12,In Review
CASE0002,FCA00304,CUST10305,Transaction Monitoring,100.0,35,Escalated
CASE0003,FCA01597,CUST10728,Transaction Monitoring,46.0,24,Escalated
CASE0004,FCA01520,CUST10494,Fraud,91.0,2,Closed
CASE0005,FCA00407,CUST10329,Transaction Monitoring,86.0,33,Open
CASE0006,FCA00210,CUST10888,Transaction Monitoring,74.0,5,Open
CASE0007,FCA01451,CUST10879,KYC/EDD,76.0,6,Open
CASE0008,FCA00560,CUST10789,Transaction Monitoring,89.0,6,In Review
CASE0009,FCA01713,CUST10702,Sanctions,100.0,25,In Review
CASE0010,FCA01075,CUST11093,Transaction Monitoring,97.0,17,Open
CASE0011,FCA00579,CUST10414,Transaction Monitoring,87.0,8,Escalated
CASE0012,FCA01085,CUST10571,Fraud,59.0,9,Open
CASE0013,FCA00234,CUST10787,Sanctions,62.0,30,In Review
CASE0014,FCA00752,CUST10342,Sanctions,56.0,39,Open
CASE0015,FCA00282,CUST10078,Transaction Monitoring,75.0,29,Open
CASE0016,FCA00269,CUST10535,Sanctions,43.0,8,Closed
CASE0017,FCA01092,CUST10805,Sanctions,85.0,9,In Review
CASE0018,FCA00385,CUST10634,Sanctions,74.0,38,Closed
CASE0019,FCA00373,CUST10708,Transaction Monitoring,68.0,36,In Review
CASE0020,FCA00911,CUST10650,Transaction Monitoring,78.0,34,Closed
CASE0021,FCA00344,CUST10352,KYC/EDD,86.0,36,Open
CASE0022,FCA00720,CUST10349,Transaction Monitoring,72.0,25,Escalated
CASE0023,FCA01344,CUST10925,Transaction Monitoring,69.0,23,In Review
CASE0024,FCA00047,CUST10565,Transaction Monitoring,87.0,20,Closed
CASE0025,FCA01228,CUST10992,Fraud,52.0,22,Closed
CASE0026,FCA01353,CUST11012,KYC/EDD,61.0,28,Closed
CASE0027,FCA01428,CUST10790,KYC/EDD,39.0,32,In Review
CASE0028,FCA01333,CUST10998,KYC/EDD,69.0,27,In Review
CASE0029,FCA00655,CUST10317,Fraud,85.0,9,Open
CASE0030,FCA01279,CUST10478,Transaction Monitoring,71.0,40,In Review
CASE0031,FCA01545,CUST10822,Transaction Monitoring,67.0,9,Closed
CASE0032,FCA01277,CUST10866,Transaction Monitoring,83.0,21,Open
CASE0033,FCA00940,CUST10257,Fraud,88.0,18,Closed
CASE0034,FCA00051,CUST10485,Transaction Monitoring,37.0,36,Closed
CASE0035,FCA01372,CUST10651,Transaction Monitoring,49.0,28,Escalated
CASE0036,FCA01716,CUST10017,Transaction Monitoring,63.0,22,Closed
CASE0037,FCA00113,CUST10905,Sanctions,56.0,28,Escalated
CASE0038,FCA01410,CUST11177,Fraud,86.0,3,Open
CASE0039,FCA01063,CUST10273,Transaction Monitoring,68.0,30,Escalated
CASE0040,FCA00187,CUST10879,Fraud,100.0,33,Closed
CASE0041,FCA01345,CUST10176,Fraud,70.0,30,Escalated
CASE0042,FCA00236,CUST10646,Transaction Monitoring,96.0,38,Open
CASE0043,FCA00157,CUST10902,Fraud,66.0,2,In Review
CASE0044,FCA00760,CUST10470,Transaction Monitoring,45.0,23,Closed
CASE0045,FCA00780,CUST10958,KYC/EDD,88.0,37,In Review
CASE0046,FCA00033,CUST11152,Fraud,81.0,31,Open
CASE0047,FCA01798,CUST10554,KYC/EDD,94.0,22,Escalated
CASE0048,FCA01054,CUST10978,Fraud,97.0,34,Escalated
CASE0049,FCA01497,CUST11119,KYC/EDD,84.0,5,In Review
CASE0050,FCA00049,CUST11069,Transaction Monitoring,63.0,22,Closed
CASE0051,FCA01430,CUST10949,Transaction Monitoring,71.0,38,Escalated
CASE0052,FCA00217,CUST11132,KYC/EDD,54.0,24,Closed
CASE0053,FCA00018,CUST10914,Transaction Monitoring,54.0,27,Closed
CASE0054,FCA01498,CUST10928,Transaction Monitoring,65.0,8,In Review
CASE0055,FCA00206,CUST10664,Transaction Monitoring,94.0,7,In Review
CASE0056,FCA01440,CUST10677,Fraud,70.0,13,Escalated
CASE0057,FCA01129,CUST10661,Transaction Monitoring,72.0,22,Closed
CASE0058,FCA01334,CUST10851,Fraud,63.0,13,Open
CASE0059,FCA01099,CUST10431,Sanctions,67.0,9,Open
CASE0060,FCA00338,CUST10272,Transaction Monitoring,37.0,32,Closed
CASE0061,FCA01745,CUST10252,KYC/EDD,54.0,9,Open
CASE0062,FCA00618,CUST10136,Fraud,71.0,10,In Review
CASE0063,FCA00517,CUST10622,Transaction Monitoring,37.0,40,Closed
CASE0064,FCA01721,CUST10252,Transaction Monitoring,100.0,39,Open
CASE0065,FCA01494,CUST10538,Transaction Monitoring,84.0,30,Open
CASE0066,FCA00396,CUST10877,Transaction Monitoring,87.0,36,In Review
CASE0067,FCA01730,CUST10380,Fraud,100.0,36,In Review
CASE0068,FCA01358,CUST10309,Transaction Monitoring,89.0,15,Closed
CASE0069,FCA01659,CUST10546,Sanctions,62.0,14,Open
CASE0070,FCA01513,CUST10570,Transaction Monitoring,58.0,34,In Review
