transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_id,counterparty_country,high_risk_geo_flag
TX500000,CUST10629,2026-01-12,Card,Debit,11174.09,CP04321,Russia,1
TX500001,CUST10171,2026-05-21,Card,Credit,850.61,CP03789,United Kingdom,0
TX500002,CUST10028,2026-01-15,Cash,Debit,12545.12,CP00794,Russia,1
TX500003,CUST10241,2026-01-19,Card,Debit,1705.57,CP02011,Turkey,1
TX500004,CUST10158,2026-04-17,Card,Debit,1251.37,CP06084,India,0
TX500005,CUST10631,2026-08-25,Card,Credit,2441.3,CP02356,India,0
TX500006,CUST10184,2026-03-23,Cash,Debit,20086.06,CP03202,United Arab Emirates,1
TX500007,CUST10494,2026-03-09,ACH,Credit,4843.41,CP02011,Nigeria,1
TX500008,CUST10364,2026-09-12,Cash,Credit,20528.0,CP01829,United States,0
TX500009,CUST10277,2026-07-18,ACH,Debit,6108.62,CP04145,Russia,1
TX500010,CUST10993,2026-02-09,Wire,Debit,7449.75,CP02477,Nigeria,1
TX500011,CUST10405,2026-05-06,Cash,Debit,5512.09,CP00727,United States,0
TX500012,CUST10774,2026-08-11,ACH,Debit,10597.57,CP05222,United States,0
TX500013,CUST10735,2026-07-07,Card,Credit,22563.08,CP05854,United States,0
TX500014,CUST10667,2026-06-30,Wire,Debit,8743.43,CP04908,Nigeria,1
TX500015,CUST10018,2026-07-11,Card,Debit,9088.13,CP06069,Nigeria,1
TX500016,CUST10705,2026-03-27,ACH,Credit,12430.33,CP05652,Turkey,1
TX500017,CUST10753,2026-05-30,Wire,Debit,2139.71,CP00598,United Arab Emirates,1
TX500018,CUST10340,2026-05-29,P2P,Debit,3836.02,CP02312,Mexico,0
TX500019,CUST10307,2026-07-10,ACH,Credit,62891.92,CP06499,China,0
TX500020,CUST10474,2026-05-21,P2P,Debit,1747.63,CP05372,India,0
TX500021,CUST10847,2026-06-11,Cash,Credit,17353.75,CP02081,Mexico,0
TX500022,CUST10492,2026-05-27,ACH,Credit,357.15,CP03613,United Arab Emirates,1
TX500023,CUST10574,2026-09-10,P2P,Credit,9740.32,CP04007,China,0
TX500024,CUST10245,2026-07-20,Card,Credit,19121.63,CP00939,United States,0
TX500025,CUST11048,2026-09-21,Cash,Debit,24326.75,CP00962,United Kingdom,0
TX500026,CUST11118,2026-09-26,P2P,Debit,22194.73,CP01373,Turkey,1
TX500027,CUST10695,2026-03-14,P2P,Debit,4393.21,CP02673,Russia,1
TX500028,CUST10852,2026-03-09,Card,Credit,862.39,CP04370,Nigeria,1
TX500029,CUST11020,2026-06-18,Wire,Debit,1820.86,CP01234,United Kingdom,0
TX500030,CUST11132,2026-03-03,ACH,Credit,8785.75,CP05260,Russia,1
TX500031,CUST11049,2026-03-02,Card,Debit,11899.84,CP05576,United Kingdom,0
TX500032,CUST11081,2026-08-12,ACH,Credit,1582.61,CP02541,Russia,1
TX500033,CUST10766,2026-07-27,Check,Debit,32989.39,CP01893,United States,0
TX500034,CUST10519,2026-03-28,Wire,Debit,3845.37,CP05017,Canada,0
TX500035,CUST10788,2026-08-17,Check,Credit,1774.35,CP05837,Russia,1
TX500036,CUST10575,2026-04-29,Check,Debit,9947.83,CP02861,India,0
TX500037,CUST10448,2026-09-27,Wire,Credit,12312.67,CP05029,Nigeria,1
TX500038,CUST11120,2026-04-23,Card,Debit,32143.62,CP00278,Mexico,0
TX500039,CUST11126,2026-01-18,Wire,Debit,1682.28,CP01442,Russia,1
TX500040,CUST10965,2026-03-01,P2P,Debit,2656.54,CP00144,China,0
TX500041,CUST10884,2026-07-09,ACH,Credit,4210.78,CP04703,Turkey,1
TX500042,CUST11074,2026-09-15,Check,Credit,1365.54,CP04344,Nigeria,1
TX500043,CUST11164,2026-06-21,P2P,Credit,3552.53,CP00111,Mexico,0
TX500044,CUST10418,2026-08-30,Wire,Debit,6581.49,CP04774,Canada,0
TX500045,CUST10874,2026-04-25,ACH,Credit,21475.81,CP06469,United States,0
TX500046,CUST10269,2026-07-03,Wire,Credit,22359.27,CP00162,United Kingdom,0
TX500047,CUST11088,2026-03-08,Card,Credit,24906.89,CP05849,Turkey,1
TX500048,CUST10355,2026-04-08,Wire,Credit,13842.3,CP01510,Mexico,0
